"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time(h)","F FC01.1_R [EG15_005]","F FC01.2_R [EG15_005]","F FC04.1_C [EG15_005]","F Pipe0 [EG15_005]","F Pipe1 [EG15_005]","F Pipe10 [EG15_005]","F Pipe11 [EG15_005]","F Pipe12 [EG15_005]","F Pipe13 [EG15_005]","F Pipe14 [EG15_005]","F Pipe15 [EG15_005]","F Pipe16 [EG15_005]","F Pipe17 [EG15_005]","F Pipe19 [EG15_005]","F Pipe2 [EG15_005]","F Pipe3 [EG15_005]","F Pipe4 [EG15_005]","F Pipe5 [EG15_005]","F Pipe6 [EG15_005]","F Pipe7 [EG15_005]","F Pipe8 [EG15_005]","F Pipe9 [EG15_005]","F Pit1 [EG15_005]","F Pit11 [EG15_005]","F Pit12 [EG15_005]","F Pit14 [EG15_005]","F Pit15 [EG15_005]","F Pit16 [EG15_005]","F Pit18 [EG15_005]","F Pit19 [EG15_005]","F Pit2 [EG15_005]","F Pit4 [EG15_005]","F Pit5 [EG15_005]","F Pit6 [EG15_005]","F Pit7 [EG15_005]","F Pit8 [EG15_005]","F Pit9 [EG15_005]"
     108,          1.783333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     109,          1.800000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     110,          1.816667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     111,          1.833333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,R,D,D,D,D,D
     112,          1.850000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     113,          1.866667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,R,D,D,D,D,R,D,D,D,D,D
     114,          1.883333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     115,          1.900000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     116,          1.916667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     117,          1.933333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     118,          1.950000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     119,          1.966667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     120,          1.983333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     121,          2.000000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,D,D
     122,          2.016667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,R,D,D,D,D
     123,          2.033334,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,R,D,D,D,D,D
     124,          2.050000,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     125,          2.066667,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
     126,          2.083333,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,R,D,D,D,D,D,D,D,D
