"EG15_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_007.tcf]","Time (h)","Q FC01.1_R [EG15_007]","Q FC01.2_R [EG15_007]","Q FC04.1_C [EG15_007]","Q Node20 [EG15_007]","Q Pit10 [EG15_007]","Q Pit11 [EG15_007]","Q Pit13 [EG15_007]","Q Pit15 [EG15_007]","Q Pit18 [EG15_007]","Q Pit19 [EG15_007]","Q Pit2 [EG15_007]","Q Pit4 [EG15_007]","Q Pit5 [EG15_007]","Q Pit6 [EG15_007]","Q Pit7 [EG15_007]","Q Pit9 [EG15_007]"
     102,          1.683333,          40.202,          64.069,           0.130,          -0.332,           0.075,           0.053,           0.011,           0.000,           0.037,           0.043,           0.020,           0.006,           0.016,           0.037,           0.009,           0.024
     103,          1.700000,          39.491,          63.388,           0.127,          -0.322,           0.073,           0.050,           0.011,           0.000,           0.036,           0.043,           0.020,           0.006,           0.015,           0.037,           0.009,           0.023
     104,          1.716667,          38.708,          62.686,           0.124,          -0.316,           0.070,           0.048,           0.010,           0.003,           0.036,           0.042,           0.020,           0.006,           0.015,           0.036,           0.008,           0.023
     105,          1.733333,          37.856,          61.960,           0.122,          -0.307,           0.068,           0.045,           0.010,           0.002,           0.035,           0.042,           0.019,           0.005,           0.014,           0.035,           0.008,           0.022
     106,          1.750000,          36.927,          61.201,           0.119,          -0.297,           0.066,           0.043,           0.010,           0.000,           0.035,           0.041,           0.019,           0.005,           0.014,           0.035,           0.008,           0.022
     107,          1.766667,          35.912,          60.411,           0.116,          -0.291,           0.064,           0.041,           0.010,           0.002,           0.034,           0.040,           0.018,           0.005,           0.014,           0.034,           0.007,           0.021
     108,          1.783333,          34.844,          59.586,           0.114,          -0.283,           0.062,           0.039,           0.009,           0.002,           0.034,           0.040,           0.018,           0.005,           0.013,           0.034,           0.007,           0.020
     109,          1.800000,          33.727,          58.725,           0.112,          -0.275,           0.060,           0.037,           0.009,           0.002,           0.033,           0.039,           0.017,           0.005,           0.013,           0.033,           0.006,           0.020
     110,          1.816667,          32.544,          57.820,           0.109,          -0.266,           0.058,           0.035,           0.009,           0.000,           0.033,           0.039,           0.017,           0.005,           0.013,           0.032,           0.006,           0.019
     111,          1.833333,          31.291,          56.854,           0.107,          -0.258,           0.057,           0.034,           0.009,           0.000,           0.032,           0.038,           0.017,           0.004,           0.012,           0.032,           0.006,           0.018
     112,          1.850000,          29.974,          55.809,           0.105,          -0.252,           0.055,           0.032,           0.008,           0.000,           0.032,           0.037,           0.016,           0.004,           0.012,           0.031,           0.006,           0.018
     113,          1.866667,          28.603,          54.677,           0.103,          -0.247,           0.054,           0.031,           0.008,           0.000,           0.031,           0.037,           0.016,           0.004,           0.012,           0.031,           0.005,           0.018
     114,          1.883333,          26.914,          53.454,           0.100,          -0.244,           0.052,           0.030,           0.008,           0.002,           0.031,           0.036,           0.016,           0.004,           0.011,           0.030,           0.005,           0.018
     115,          1.900000,          25.251,          52.128,           0.098,          -0.235,           0.051,           0.028,           0.008,           0.000,           0.030,           0.036,           0.015,           0.004,           0.011,           0.029,           0.005,           0.018
     116,          1.916667,          23.839,          50.693,           0.096,          -0.232,           0.049,           0.027,           0.008,           0.002,           0.030,           0.035,           0.015,           0.004,           0.011,           0.029,           0.004,           0.018
     117,          1.933333,          22.653,          49.118,           0.094,          -0.227,           0.048,           0.026,           0.008,           0.002,           0.030,           0.035,           0.015,           0.004,           0.010,           0.028,           0.004,           0.018
     118,          1.950000,          21.667,          47.381,           0.092,          -0.219,           0.046,           0.025,           0.007,           0.000,           0.029,           0.034,           0.014,           0.004,           0.010,           0.027,           0.004,           0.017
     119,          1.966667,          20.862,          45.455,           0.090,          -0.215,           0.045,           0.023,           0.007,           0.002,           0.029,           0.034,           0.014,           0.004,           0.010,           0.027,           0.004,           0.017
     120,          1.983333,          20.192,          43.310,           0.089,          -0.208,           0.044,           0.022,           0.007,           0.000,           0.028,           0.033,           0.014,           0.004,           0.010,           0.026,           0.004,           0.016
     121,          2.000000,          19.628,          40.951,           0.087,          -0.203,           0.043,           0.021,           0.007,           0.000,           0.028,           0.033,           0.013,           0.004,           0.010,           0.026,           0.004,           0.016
     122,          2.016667,          19.142,          38.541,           0.085,          -0.198,           0.042,           0.021,           0.007,           0.000,           0.027,           0.032,           0.013,           0.003,           0.009,           0.025,           0.003,           0.015
     123,          2.033334,          18.701,          36.208,           0.083,          -0.193,           0.040,           0.020,           0.006,           0.000,           0.027,           0.032,           0.013,           0.003,           0.009,           0.025,           0.003,           0.015
     124,          2.050000,          18.270,          33.955,           0.081,          -0.189,           0.039,           0.019,           0.006,           0.000,           0.026,           0.032,           0.012,           0.003,           0.009,           0.024,           0.003,           0.014
     125,          2.066667,          17.845,          31.895,           0.080,          -0.184,           0.038,           0.018,           0.006,           0.000,           0.026,           0.031,           0.012,           0.003,           0.009,           0.023,           0.003,           0.014
     126,          2.083333,          17.410,          29.963,           0.078,          -0.179,           0.037,           0.018,           0.006,           0.000,           0.025,           0.031,           0.012,           0.003,           0.008,           0.022,           0.003,           0.014
     127,          2.100000,          16.981,          28.153,           0.076,          -0.175,           0.036,           0.017,           0.006,           0.000,           0.025,           0.030,           0.012,           0.003,           0.008,           0.022,           0.003,           0.013
     128,          2.116667,          16.533,          26.473,           0.075,          -0.170,           0.036,           0.017,           0.005,           0.000,           0.024,           0.030,           0.011,           0.003,           0.008,           0.021,           0.003,           0.013
     129,          2.133333,          16.043,          24.997,           0.073,          -0.166,           0.035,           0.016,           0.005,           0.000,           0.024,           0.029,           0.011,           0.003,           0.008,           0.020,           0.002,           0.012
     130,          2.150000,          15.538,          23.664,           0.072,          -0.162,           0.034,           0.016,           0.005,           0.000,           0.024,           0.029,           0.011,           0.003,           0.008,           0.020,           0.002,           0.012
     131,          2.166667,          15.023,          22.483,           0.070,          -0.158,           0.033,           0.015,           0.005,           0.000,           0.023,           0.029,           0.011,           0.002,           0.007,           0.019,           0.002,           0.012
     132,          2.183333,          14.509,          21.484,           0.068,          -0.154,           0.032,           0.015,           0.005,           0.000,           0.023,           0.028,           0.010,           0.002,           0.007,           0.019,           0.002,           0.011
     133,          2.200000,          14.007,          20.628,           0.067,          -0.150,           0.031,           0.014,           0.005,           0.000,           0.022,           0.027,           0.010,           0.002,           0.007,           0.018,           0.002,           0.011
     134,          2.216667,          13.586,          19.855,           0.065,          -0.146,           0.030,           0.014,           0.004,           0.000,           0.022,           0.027,           0.010,           0.002,           0.007,           0.018,           0.002,           0.010
     135,          2.233333,          13.242,          19.155,           0.064,          -0.142,           0.029,           0.013,           0.004,           0.000,           0.021,           0.027,           0.009,           0.002,           0.007,           0.017,           0.002,           0.010
     136,          2.250000,          12.950,          18.518,           0.062,          -0.139,           0.029,           0.013,           0.004,           0.000,           0.021,           0.026,           0.009,           0.002,           0.007,           0.017,           0.002,           0.009
     137,          2.266667,          12.692,          17.936,           0.061,          -0.137,           0.028,           0.012,           0.004,           0.002,           0.021,           0.026,           0.009,           0.002,           0.006,           0.016,           0.002,           0.009
     138,          2.283334,          12.448,          17.409,           0.060,          -0.133,           0.027,           0.012,           0.004,           0.002,           0.020,           0.025,           0.009,           0.002,           0.006,           0.015,           0.002,           0.008
