"EG15_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_008.tcf]","Time(h)","F FC01.1_R [EG15_008]","F FC01.2_R [EG15_008]","F FC04.1_C [EG15_008]","F Node20 [EG15_008]","F Node21 [EG15_008]","F Pipe10 [EG15_008]","F Pipe11 [EG15_008]","F Pipe12 [EG15_008]","F Pipe13 [EG15_008]","F Pipe14 [EG15_008]","F Pipe15 [EG15_008]","F Pipe16 [EG15_008]","F Pipe17 [EG15_008]","F Pipe19 [EG15_008]","F Pipe5 [EG15_008]","F Pipe6 [EG15_008]","F Pipe9 [EG15_008]","F Pit10 [EG15_008]","F Pit11 [EG15_008]","F Pit12 [EG15_008]","F Pit13 [EG15_008]","F Pit14 [EG15_008]","F Pit15 [EG15_008]","F Pit16 [EG15_008]","F Pit18 [EG15_008]","F Pit19 [EG15_008]","F Pit2 [EG15_008]","F Pit3 [EG15_008]","F Pit4 [EG15_008]","F Pit5 [EG15_008]","F Pit6 [EG15_008]","F Pit7 [EG15_008]","F Pit8 [EG15_008]","F Pit9 [EG15_008]"
      93,          1.533333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      94,          1.550000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      95,          1.566667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      96,          1.583333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      97,          1.600000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      98,          1.616667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
      99,          1.633333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     100,          1.650000,L,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     101,          1.666667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     102,          1.683333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     103,          1.700000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     104,          1.716667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     105,          1.733333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     106,          1.750000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     107,          1.766667,L,F,A,,,F,F L,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     108,          1.783333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     109,          1.800000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     110,          1.816667,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     111,          1.833333,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
     112,          1.850000,L,F,A,,,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,R,R,R,R,,,,,,,,R,R,R
