"","Time","DF01 Status","DF01 Trigger","DF01 Breach Depth","DF01 Top Width","DF01 Bottom Width","DF01 Flow Intact","DF01 Flow Failed","DF01 Flow","PF01 Status","PF01 Trigger","PF01 Orifice Height","PF01 Orifice Width","PF01 Flow"
     147,          2.433333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   10.703,             10.703,"Closed      ",          46.986065,    0.000,    0.000,              0.000
     148,          2.450000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   10.518,             10.518,"Closed      ",          46.970116,    0.000,    0.000,              0.000
     149,          2.466667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   10.318,             10.318,"Closed      ",          46.952690,    0.000,    0.000,              0.000
     150,          2.483333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,   10.123,             10.123,"Closed      ",          46.935524,    0.000,    0.000,              0.000
     151,          2.500000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    9.900,              9.900,"Closed      ",          46.915627,    0.000,    0.000,              0.000
     152,          2.516667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    9.682,              9.682,"Closed      ",          46.896011,    0.000,    0.000,              0.000
     153,          2.533334,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    9.456,              9.456,"Closed      ",          46.875221,    0.000,    0.000,              0.000
     154,          2.550000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    9.217,              9.217,"Closed      ",          46.853111,    0.000,    0.000,              0.000
     155,          2.566667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    8.974,              8.974,"Closed      ",          46.830151,    0.000,    0.000,              0.000
     156,          2.583333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    8.728,              8.728,"Closed      ",          46.806637,    0.000,    0.000,              0.000
     157,          2.600000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    8.483,              8.483,"Closed      ",          46.782757,    0.000,    0.000,              0.000
     158,          2.616667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    8.254,              8.254,"Closed      ",          46.760105,    0.000,    0.000,              0.000
     159,          2.633333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    8.035,              8.035,"Closed      ",          46.738079,    0.000,    0.000,              0.000
     160,          2.650000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    7.824,              7.824,"Closed      ",          46.716515,    0.000,    0.000,              0.000
     161,          2.666667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    7.619,              7.619,"Closed      ",          46.695232,    0.000,    0.000,              0.000
     162,          2.683333,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    7.424,              7.424,"Closed      ",          46.674755,    0.000,    0.000,              0.000
     163,          2.700000,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    7.234,              7.234,"Closed      ",          46.654419,    0.000,    0.000,              0.000
     164,          2.716667,"Fully Open  ",           0.000000,    7.000,   15.000,    1.000,    0.000,    7.042,              7.042,"Closed      ",          46.633614,    0.000,    0.000,              0.000
