"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWh1 Loc1_P [EG05_018]","GWh1 Loc8_P [EG05_018]","GWh1 Loc10_P [EG05_018]","GWh1 Loc4_P [EG05_018]"
         308,      -66.883331,         38.8089,         35.9714,         42.2559,         40.4115
         309,      -66.866669,         38.8089,         35.9714,         42.2559,         40.4115
         310,      -66.849998,         38.8089,         35.9714,         42.2559,         40.4115
         311,      -66.833336,         38.8089,         35.9714,         42.2559,         40.4115
         312,      -66.816666,         38.8089,         35.9714,         42.2559,         40.4115
         313,      -66.800003,         38.8089,         35.9714,         42.2559,         40.4115
         314,      -66.783333,         38.8089,         35.9714,         42.2559,         40.4115
         315,      -66.766670,         38.8089,         35.9714,         42.2559,         40.4115
         316,      -66.750000,         38.8089,         35.9714,         42.2559,         40.4115
         317,      -66.733330,         38.8089,         35.9714,         42.2559,         40.4115
         318,      -66.716667,         38.8089,         35.9714,         42.2559,         40.4115
         319,      -66.699997,         38.8089,         35.9714,         42.2559,         40.4115
         320,      -66.683334,         38.8089,         35.9714,         42.2559,         40.4115
         321,      -66.666664,         38.8089,         35.9714,         42.2559,         40.4115
         322,      -66.650002,         38.8089,         35.9714,         42.2559,         40.4115
         323,      -66.633331,         38.8089,         35.9714,         42.2559,         40.4115
         324,      -66.616669,         38.8089,         35.9714,         42.2559,         40.4115
         325,      -66.599998,         38.8089,         35.9714,         42.2559,         40.4115
         326,      -66.583336,         38.8089,         35.9714,         42.2559,         40.4115
         327,      -66.566666,         38.8089,         35.9714,         42.2559,         40.4115
         328,      -66.550003,         38.8089,         35.9714,         42.2559,         40.4115
         329,      -66.533333,         38.8089,         35.9714,         42.2559,         40.4115
         330,      -66.516670,         38.8089,         35.9714,         42.2559,         40.4115
         331,      -66.500000,         38.8089,         35.9714,         42.2559,         40.4115
         332,      -66.483330,         38.8089,         35.9714,         42.2559,         40.4115
         333,      -66.466667,         38.8089,         35.9714,         42.2559,         40.4115
         334,      -66.449997,         38.8089,         35.9714,         42.2559,         40.4115
         335,      -66.433334,         38.8089,         35.9714,         42.2559,         40.4115
         336,      -66.416664,         38.8089,         35.9714,         42.2559,         40.4115
         337,      -66.400002,         38.8089,         35.9714,         42.2559,         40.4115
         338,      -66.383331,         38.8089,         35.9714,         42.2559,         40.4115
         339,      -66.366669,         38.8089,         35.9714,         42.2559,         40.4115
         340,      -66.349998,         38.8089,         35.9714,         42.2559,         40.4115
         341,      -66.333336,         38.8089,         35.9714,         42.2559,         40.4115
         342,      -66.316666,         38.8089,         35.9714,         42.2559,         40.4115
         343,      -66.300003,         38.8089,         35.9714,         42.2559,         40.4115
         344,      -66.283333,         38.8089,         35.9714,         42.2559,         40.4115
         345,      -66.266670,         38.8089,         35.9714,         42.2559,         40.4115
         346,      -66.250000,         38.8089,         35.9714,         42.2559,         40.4115
         347,      -66.233330,         38.8089,         35.9714,         42.2559,         40.4115
         348,      -66.216667,         38.8089,         35.9714,         42.2559,         40.4115
         349,      -66.199997,         38.8089,         35.9714,         42.2559,         40.4115
         350,      -66.183334,         38.8089,         35.9714,         42.2559,         40.4115
         351,      -66.166664,         38.8089,         35.9714,         42.2559,         40.4115
         352,      -66.150002,         38.8089,         35.9714,         42.2559,         40.4115
         353,      -66.133331,         38.8089,         35.9714,         42.2559,         40.4115
         354,      -66.116669,         38.8089,         35.9714,         42.2559,         40.4115
         355,      -66.099998,         38.8089,         35.9714,         42.2559,         40.4115
         356,      -66.083336,         38.8089,         35.9714,         42.2559,         40.4115
         357,      -66.066666,         38.8089,         35.9714,         42.2559,         40.4115
         358,      -66.050003,         38.8089,         35.9714,         42.2559,         40.4115
         359,      -66.033333,         38.8089,         35.9714,         42.2559,         40.4115
         360,      -66.016670,         38.8089,         35.9714,         42.2559,         40.4115
         361,      -66.000000,         38.8089,         35.9714,         42.2559,         40.4115
         362,      -65.983330,         38.8089,         35.9714,         42.2559,         40.4115
         363,      -65.966667,         38.8089,         35.9714,         42.2559,         40.4115
         364,      -65.949997,         38.8089,         35.9714,         42.2559,         40.4115
         365,      -65.933334,         38.8089,         35.9714,         42.2559,         40.4115
         366,      -65.916664,         38.8089,         35.9714,         42.2559,         40.4115
         367,      -65.900002,         38.8089,         35.9714,         42.2559,         40.4115
         368,      -65.883331,         38.8089,         35.9714,         42.2559,         40.4115
         369,      -65.866669,         38.8089,         35.9714,         42.2559,         40.4115
         370,      -65.849998,         38.8089,         35.9714,         42.2559,         40.4115
         371,      -65.833336,         38.8089,         35.9714,         42.2559,         40.4115
         372,      -65.816666,         38.8089,         35.9714,         42.2559,         40.4115
         373,      -65.800003,         38.8089,         35.9714,         42.2559,         40.4115
         374,      -65.783333,         38.8089,         35.9714,         42.2559,         40.4115
         375,      -65.766670,         38.8089,         35.9714,         42.2559,         40.4115
         376,      -65.750000,         38.8089,         35.9714,         42.2559,         40.4115
         377,      -65.733330,         38.8089,         35.9714,         42.2559,         40.4115
         378,      -65.716667,         38.8089,         35.9714,         42.2559,         40.4115
         379,      -65.699997,         38.8089,         35.9714,         42.2559,         40.4115
         380,      -65.683334,         38.8089,         35.9714,         42.2559,         40.4115
         381,      -65.666664,         38.8089,         35.9714,         42.2559,         40.4115
         382,      -65.650002,         38.8089,         35.9714,         42.2559,         40.4115
         383,      -65.633331,         38.8089,         35.9714,         42.2559,         40.4115
         384,      -65.616669,         38.8089,         35.9714,         42.2559,         40.4115
         385,      -65.599998,         38.8089,         35.9714,         42.2559,         40.4115
         386,      -65.583336,         38.8089,         35.9714,         42.2559,         40.4115
         387,      -65.566666,         38.8089,         35.9714,         42.2559,         40.4115
         388,      -65.550003,         38.8089,         35.9714,         42.2559,         40.4115
         389,      -65.533333,         38.8089,         35.9714,         42.2559,         40.4115
         390,      -65.516670,         38.8089,         35.9714,         42.2559,         40.4115
         391,      -65.500000,         38.8089,         35.9714,         42.2559,         40.4115
