"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time (h)","H FC01.1_R.1 [EG11_008]","H FC01.1_R.2 [EG11_008]","H FC01.2_R.1 [EG11_008]","H FC01.2_R.2 [EG11_008]","H FC04.1_C.1 [EG11_008]","H FC04.1_C.2 [EG11_008]","H W999.1 [EG11_008]","H W999.2 [EG11_008]"
     164,          2.716667,     46.2831,     45.2154,     39.0759,     38.9634,     43.3490,     42.7490,     42.5960,     42.5960
     165,          2.733334,     46.2654,     45.1993,     39.0277,     38.9214,     43.3490,     42.7490,     42.5960,     42.5960
     166,          2.750000,     46.2475,     45.1830,     38.9847,     38.8855,     43.3490,     42.7490,     42.5960,     42.5960
     167,          2.766667,     46.2284,     45.1659,     38.9473,     38.8539,     43.3490,     42.7490,     42.5960,     42.5960
     168,          2.783334,     46.2137,     45.1503,     38.9135,     38.8253,     43.3490,     42.7490,     42.5960,     42.5960
     169,          2.800000,     46.1915,     45.1303,     38.8838,     38.7990,     43.3490,     42.7490,     42.5960,     42.5960
     170,          2.816667,     46.1685,     45.1073,     38.8527,     38.7755,     43.3490,     42.7490,     42.5960,     42.5960
     171,          2.833333,     46.1454,     45.0837,     38.8217,     38.7489,     43.3490,     42.7490,     42.5960,     42.5960
     172,          2.850000,     46.1218,     45.0565,     38.7892,     38.7204,     43.3490,     42.7490,     42.5960,     42.5960
     173,          2.866667,     46.0978,     45.0261,     38.7618,     38.6962,     43.3490,     42.7490,     42.5960,     42.5960
     174,          2.883333,     46.0740,     44.9934,     38.7382,     38.6732,     43.3490,     42.7490,     42.5960,     42.5960
     175,          2.900000,     46.0494,     44.9572,     38.7157,     38.6515,     43.3490,     42.7490,     42.5960,     42.5960
     176,          2.916667,     46.0251,     44.9212,     38.6925,     38.6294,     43.3490,     42.7490,     42.5960,     42.5960
     177,          2.933333,     46.0001,     44.8835,     38.6688,     38.6067,     43.3490,     42.7490,     42.5960,     42.5960
     178,          2.950000,     45.9769,     44.8497,     38.6452,     38.5841,     43.3490,     42.7490,     42.5960,     42.5960
     179,          2.966667,     45.9560,     44.8197,     38.6229,     38.5625,     43.3490,     42.7490,     42.5960,     42.5960
     180,          2.983334,     45.9359,     44.7909,     38.5981,     38.5388,     43.3490,     42.7490,     42.5960,     42.5960
     181,          3.000000,     45.9155,     44.7621,     38.5754,     38.5162,     43.3490,     42.7490,     42.5960,     42.5960
