"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time (h)","H FC01.1_R.1 [EG11_009]","H FC01.1_R.2 [EG11_009]","H FC01.2_R.1 [EG11_009]","H FC01.2_R.2 [EG11_009]","H FC04.1_C.1 [EG11_009]","H FC04.1_C.2 [EG11_009]","H OC999.8 [EG11_009]","H OC999.9 [EG11_009]"
     116,          1.916667,     47.4118,     46.1524,     41.6653,     40.4641,     43.3490,     42.7490,     42.4469,     41.7500
     117,          1.933333,     47.3453,     46.1021,     41.5998,     40.4483,     43.3490,     42.7490,     42.4491,     41.6832
     118,          1.950000,     47.2890,     46.0570,     41.5296,     40.4307,     43.3490,     42.7490,     42.4511,     41.6118
     119,          1.966667,     47.2427,     46.0202,     41.4542,     40.4112,     43.3490,     42.7490,     42.4532,     41.5350
     120,          1.983333,     47.2039,     45.9888,     41.3726,     40.3893,     43.3490,     42.7490,     42.4552,     41.4518
     121,          2.000000,     47.1710,     45.9622,     41.2839,     40.3644,     43.3490,     42.7490,     42.4573,     41.3615
     122,          2.016667,     47.1430,     45.9397,     41.1869,     40.3357,     43.3490,     42.7490,     42.4593,     41.2625
     123,          2.033334,     47.1160,     45.9194,     41.0820,     40.3027,     43.3490,     42.7490,     42.4613,     41.1556
     124,          2.050000,     47.0898,     45.9002,     40.9680,     40.2644,     43.3490,     42.7490,     42.4632,     41.0394
     125,          2.066667,     47.0632,     45.8813,     40.8470,     40.2203,     43.3490,     42.7490,     42.4652,     40.9168
     126,          2.083333,     47.0361,     45.8622,     40.7233,     40.1709,     43.3490,     42.7490,     42.4671,     40.7914
     127,          2.100000,     47.0084,     45.8426,     40.5962,     40.1147,     43.3490,     42.7490,     42.4691,     40.6632
     128,          2.116667,     46.9797,     45.8223,     40.4693,     40.0518,     43.3490,     42.7490,     42.4710,     40.5363
     129,          2.133333,     46.9490,     45.8008,     40.3437,     39.9833,     43.3490,     42.7490,     42.4728,     40.4115
     130,          2.150000,     46.9165,     45.7782,     40.2215,     39.9114,     43.3490,     42.7490,     42.4747,     40.2911
