iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
24700,       5221.147,0.191673,0.191083,0.248672,0.585571,0.299988,99.2636
24800,       5240.315,0.192435,0.191718,0.249237,0.587708,0.299988,99.2656
24900,       5259.486,0.19321,0.191718,0.249802,0.589874,0.299988,99.2661
25000,       5278.658,0.193988,0.191718,0.250381,0.592056,0.300003,99.2653
25100,       5298.048,0.194819,0.194223,0.250992,0.594391,0.299988,99.267
25200,       5317.470,0.195694,0.194223,0.251678,0.596863,0.299973,99.2677
25300,       5336.893,0.196602,0.194223,0.25238,0.599426,0.299988,99.2668
25400,       5356.525,0.197565,0.19672,0.253159,0.602142,0.299988,99.2681
25500,       5376.282,0.198553,0.197648,0.253952,0.604935,0.299988,99.2699
25600,       5396.047,0.199607,0.197648,0.254822,0.607925,0.299988,99.2699
25700,       5415.989,0.200717,0.20005,0.255753,0.611099,0.299988,99.2713
25800,       5436.064,0.201885,0.201143,0.256744,0.614426,0.299973,99.2729
25900,       5456.178,0.203132,0.201143,0.257812,0.617996,0.299988,99.2731
26000,       5476.479,0.204397,0.204323,0.258911,0.621628,0.299973,99.2744
26100,       5496.911,0.205723,0.204323,0.260071,0.625427,0.299988,99.2758
26200,       5517.344,0.20712,0.204323,0.261307,0.629456,0.299988,99.2747
26300,       5538.050,0.208665,0.207674,0.262695,0.633926,0.299988,99.276
26400,       5558.918,0.2102,0.208729,0.264069,0.638351,0.299973,99.2774
26500,       5579.791,0.211649,0.208729,0.26532,0.642517,0.299988,99.2762
26600,       5600.977,0.21326,0.213239,0.266754,0.647171,0.299973,99.2779
26700,       5622.301,0.214982,0.213239,0.268311,0.652145,0.299973,99.279
26800,       5643.670,0.216662,0.216655,0.269791,0.656998,0.299988,99.2779
26900,       5665.354,0.218101,0.2179,0.27095,0.661102,0.299988,99.2797
27000,       5687.144,0.219481,0.2179,0.272018,0.665024,0.299988,99.2809
27100,       5709.035,0.221085,0.220629,0.273361,0.669617,0.299973,99.2813
27200,       5731.167,0.222847,0.221796,0.274857,0.674683,0.299973,99.283
27300,       5753.346,0.224704,0.221796,0.276474,0.680084,0.299957,99.2823
27400,       5775.779,0.226645,0.225618,0.278152,0.68576,0.299973,99.2827
27500,       5798.452,0.228545,0.226824,0.27977,0.691315,0.299973,99.284
27600,       5821.150,0.230331,0.229885,0.281219,0.696533,0.299973,99.2826
27700,       5844.210,0.232061,0.230907,0.282578,0.701584,0.299973,99.2844
27800,       5867.300,0.233816,0.230907,0.283936,0.706711,0.299973,99.2838
27900,       5890.556,0.235571,0.23545,0.285278,0.711853,0.299973,99.283
28000,       5914.101,0.237341,0.23545,0.286606,0.717026,0.299988,99.2842
28100,       5937.646,0.238989,0.23545,0.287766,0.721832,0.299988,99.2824
28200,       5961.514,0.239757,0.239044,0.287857,0.723984,0.299988,99.2841
28300,       5985.419,0.240466,0.239044,0.287857,0.725967,0.299988,99.2852
28400,       6009.386,0.241201,0.241021,0.287888,0.728027,0.299988,99.2861
28500,       6033.488,0.241927,0.241021,0.287918,0.730042,0.300003,99.2881
28600,       6057.590,0.24263,0.241021,0.287903,0.731995,0.299988,99.2888
28700,       6081.774,0.243347,0.241935,0.287918,0.733978,0.299988,99.2898
28800,       6105.968,0.244054,0.241935,0.287933,0.735901,0.299988,99.2897
28900,       6130.244,0.244788,0.243902,0.287964,0.737915,0.299988,99.2898
29000,       6154.634,0.24555,0.243902,0.28804,0.740005,0.300003,99.2906
29100,       6179.025,0.246338,0.243902,0.288834,0.742157,0.299988,99.2901
29200,       6203.607,0.247218,0.245902,0.290604,0.744583,0.299988,99.2914
29300,       6228.197,0.248125,0.245902,0.292419,0.747086,0.299988,99.2914
29400,       6252.893,0.249087,0.247933,0.294403,0.749756,0.299988,99.2916
29500,       6277.686,0.250103,0.247933,0.296463,0.752563,0.299988,99.2917
29600,       6302.505,0.25111,0.251068,0.298599,0.755356,0.299988,99.2907
29700,       6327.612,0.252212,0.251068,0.300751,0.758423,0.299988,99.2926
29800,       6352.719,0.25346,0.251068,0.303009,0.761932,0.299988,99.2927
29900,       6377.998,0.254766,0.254556,0.30545,0.765671,0.299973,99.2934
30000,       6403.454,0.256105,0.254556,0.308029,0.769531,0.299988,99.2948
30100,       6428.974,0.257517,0.25641,0.310577,0.773605,0.299988,99.2952
30200,       6454.723,0.258909,0.257927,0.313034,0.777618,0.299973,99.2969
30300,       6480.519,0.260297,0.25974,0.315491,0.781647,0.299988,99.2971
30400,       6506.494,0.261372,0.25974,0.317429,0.784729,0.299988,99.2983
30500,       6532.468,0.262692,0.25974,0.319626,0.788559,0.299988,99.2977
30600,       6558.679,0.263979,0.263195,0.321182,0.792282,0.299988,99.2986
30700,       6584.998,0.26511,0.263195,0.322464,0.795547,0.299988,99.2993
30800,       6611.416,0.266218,0.265487,0.323761,0.798737,0.299988,99.2999
30900,       6637.965,0.267345,0.265487,0.325027,0.801987,0.299988,99.3007
31000,       6664.554,0.268408,0.267857,0.326279,0.805069,0.299988,99.3005
31100,       6691.339,0.269421,0.267857,0.327499,0.807983,0.299988,99.3018
31200,       6718.125,0.270369,0.267857,0.328552,0.810715,0.299988,99.3015
31300,       6745.135,0.271348,0.27027,0.327301,0.813553,0.299988,99.3032
31400,       6772.162,0.272302,0.27027,0.325714,0.816299,0.299988,99.3037
31500,       6799.304,0.273274,0.273129,0.324417,0.819122,0.299988,99.3045
31600,       6826.617,0.274291,0.273129,0.325592,0.822067,0.299988,99.3063
31700,       6853.973,0.275284,0.273973,0.324326,0.824936,0.299988,99.3073
31800,       6881.370,0.276098,0.273973,0.325241,0.827271,0.299988,99.3075
31900,       6908.848,0.276816,0.276498,0.324356,0.82933,0.300003,99.3079
32000,       6936.498,0.277494,0.276498,0.321396,0.831253,0.300003,99.3097
32100,       6964.148,0.277622,0.276498,0.321365,0.831543,0.299988,99.3112
32200,       6991.798,0.278627,0.276498,0.322388,0.834457,0.299988,99.3115
32300,       7019.447,0.279337,0.276498,0.32309,0.836487,0.299988,99.3107
32400,       7047.349,0.280021,0.27907,0.323074,0.83844,0.299988,99.3125
32500,       7075.256,0.280663,0.27907,0.320541,0.840271,0.299988,99.3133
32600,       7103.271,0.281507,0.280374,0.319382,0.842712,0.299988,99.3147
32700,       7131.309,0.282354,0.280374,0.32016,0.845154,0.299988,99.3152
32800,       7159.437,0.283175,0.281689,0.317139,0.847519,0.299988,99.3159
32900,       7187.606,0.283997,0.281689,0.317825,0.849899,0.299988,99.3159
33000,       7215.896,0.28475,0.284541,0.318436,0.852066,0.299988,99.3166
33100,       7244.350,0.285534,0.284541,0.319077,0.854309,0.299988,99.3184
33200,       7272.857,0.28632,0.285714,0.319687,0.856552,0.299988,99.3199
33300,       7301.429,0.287079,0.285714,0.320206,0.858688,0.300003,99.3212
33400,       7330.048,0.287797,0.287081,0.320663,0.860718,0.299988,99.3222
33500,       7358.756,0.288692,0.287081,0.321304,0.863251,0.299988,99.3232
33600,       7387.500,0.289678,0.288462,0.321991,0.866074,0.299988,99.3235
33700,       7416.346,0.290756,0.288462,0.322754,0.869141,0.299988,99.3238
33800,       7445.243,0.291809,0.291265,0.323486,0.872147,0.299988,99.3233
33900,       7474.369,0.292895,0.291265,0.324265,0.875229,0.300003,99.3245
34000,       7503.513,0.294015,0.292683,0.324982,0.878418,0.299988,99.3245
34100,       7532.781,0.29529,0.292683,0.325867,0.882065,0.299988,99.3245
34200,       7562.070,0.296615,0.295566,0.326828,0.885849,0.299988,99.3231
34300,       7591.626,0.297962,0.295566,0.327881,0.889679,0.299988,99.3235
34400,       7621.195,0.299437,0.298507,0.330002,0.89389,0.299988,99.3222
34500,       7651.045,0.300964,0.298507,0.332184,0.898254,0.299988,99.3226
34600,       7680.905,0.302623,0.301508,0.334488,0.902985,0.299988,99.3211
34700,       7711.056,0.304307,0.301508,0.336899,0.907791,0.299988,99.3213
34800,       7741.219,0.305875,0.304567,0.339233,0.912262,0.299988,99.3194
34900,       7771.807,0.307843,0.306447,0.341858,0.917892,0.299988,99.3208
35000,       7802.475,0.309902,0.309278,0.344589,0.923798,0.299973,99.3207
35100,       7833.402,0.311864,0.309278,0.34729,0.929398,0.299973,99.3213
35200,       7864.375,0.314014,0.3125,0.350189,0.935577,0.299973,99.3199
35300,       7895.785,0.316582,0.31449,0.35379,0.943039,0.30011,99.3213
35400,       7927.302,0.318862,0.31746,0.357254,0.949661,0.299973,99.321
35500,       7959.048,0.321486,0.31746,0.360962,0.957306,0.299988,99.3203
